Word TrueLabel
The O
geology O
of O
the O
hole O
was O
dominated O
by O
felsic B-ROCK
schists I-ROCK
and O
granites B-ROCK
. O

The O
mineralisation O
was O
characterised O
by O
traces O
of O
disseminated O
pyrite B-MINERAL
with O
zones O
of O
trace O
pyrrhotite B-MINERAL
and O
chalcopyrite B-MINERAL
in O
felsic B-ROCK
schist I-ROCK
. O

The O
best O
mineralisation O
was O
intersected O
in O
felsic B-ROCK
schists I-ROCK
below O
the O
interpreted O
position O
of O
the O
VTEM O
plate O
model O
. O

The O
geology O
of O
the O
hole O
was O
ultramafic B-ROCK
schists I-ROCK
overlying O
amphibolite B-ROCK
and O
amphibolitic B-ROCK
schists I-ROCK
with O
two O
1 O
m O
wide O
weakly O
sulphidic O
quartz B-ROCK
veins I-ROCK
. O

These O
quartz B-ROCK
veins I-ROCK
were O
characterised O
by O
green O
colouration O
with O
traces O
of O
magnetite B-MINERAL
and O
disseminated O
pyrite B-MINERAL
, O
however O
contained O
no O
anomalous O
chemistry O
. O

The O
only O
significant O
geochemistry O
was O
hosted O
in O
amphibolites B-ROCK
with O
1 O
pyrite B-MINERAL
and O
traces O
of O
magnetite B-MINERAL
on O
the O
contact O
with O
a O
quartz B-ROCK
vein I-ROCK
. O

The O
geology O
of O
the O
hole O
was O
amphibolite B-ROCK
, O
granite B-ROCK
and O
felsic B-ROCK
schists I-ROCK
. O

Trace O
amounts O
of O
disseminated O
pyrite B-MINERAL
were O
present O
throughout O
a O
36 O
m O
wide O
granite B-ROCK
intrusive I-ROCK
, O
which O
also O
contained O
a O
1 O
m O
wide O
zone O
of O
2 O
pyrite B-MINERAL
and O
1 O
chalcopyrite B-MINERAL
. O

The O
geology O
of O
both O
holes O
was O
very O
similar O
with O
the O
major O
rock O
type O
being O
amphibolite B-ROCK
and O
fine O
grained O
amphibolite B-ROCK
schists I-ROCK
. O

Mineralisation O
in O
10TPRC007 O
was O
characterised O
by O
traces O
of O
disseminated O
sulphides B-MINERAL
including O
chalcopyrite B-MINERAL
occurring O
in O
bands O
of O
up O
to O
11 O
m O
in O
width O
. O

Mineralisation O
in O
10TPRC008 O
consisted O
of O
up O
to O
3 O
disseminated O
pyrite B-MINERAL
and O
chalcopyrite B-MINERAL
in O
bands O
up O
to O
14 O
m O
in O
width O
with O
traces O
of O
malachite O
clearly O
visible O
along O
fractures O
. O

Test O
for O
depth O
extensions O
to O
the O
copper B-MINERAL
mineralisation O
associated O
with O
the O
historic O
Twin B-LOCATION
Peaks I-LOCATION
Copper I-LOCATION
