Stratigraphic Name,Stratno,Previous Name,Previous Name Stratno,Rank, Status ,Parent Name,Parent Stratno, Chemical Parent Name , Chemical Parent Stratno ,Top Minimum Age Name, Top Minimum Age (Ma) , Top Minimum Age Error (Ma), Top Minimum Age Method ,Base Maximum Age Name, Base Maximum Age (Ma) , Base Maximum Age Error (Ma) , Base Maximum Age Method , Minimum Thickness (m) , Maximum Thickness (m) , Type Section State , First ref as on form , Def ref as on form , Reserved by , Resdate , Approved by , Approved date ,General Comments , Lithology Description ,Primary Lithology Group, Secondary Lithology Group , Tectonic Setting , Intrusive , Granite Type
81-Mile Vent Lamproite,3,81-Mile Vent lamproite,4,"Formation, beds",Informal,,,,,,,,,,,,,,,,41158,,,,,,,,,,,Y,
Abattoir East Gabbro,77868,,,"Formation, beds",Reserved,,,,,Neoarchean,,,,Neoarchean,,,,,,,70153,,"Hall, C. (GSWA)",31-May-13,,,"Differentiated gabbro within the Black Flag Group. To be published = Geological Survey of Western Australia East Yilgarn Update 2013-14, digital product.",Gabbro.,,,,Y,
Abattoir West Gabbro,77869,,,"Formation, beds",Reserved,,,,,Neoarchean,,,,Neoarchean,,,,,,,70153,,"Hall, C. (GSWA)",31-May-13,,,"Intrudes the Black Flag Group; found west of the Abattoir East Gabbro; metamorphosed. To be published = Geological Survey of Western Australia East Yilgarn Update 2013-14, digital product.",Gabbro.,igneous mafic intrusive,,,Y,
Abbotshall Chert,35663,Abbotshall Beds,30,"Formation, beds",Informal,,,,,Archean,,,,Archean,,,,,,,23136,,,,,,,,,,,N,
Abdul Sandstone,80523,,,"Formation, beds",Formal,Kennedy Group,9434,,,Late Permian,,,,Late Permian,,,,,,WA,13615,,,,,,"In Onslow 1, Abdul's Dam 1, Ruby 1. published in: CROSTELLA, A., IASKY, R. P., BLUNDELL, K. A., YASIN, A. R., and GHORI, K. A. R., 2000, Petroleum geology of the Peedamullah Shelf and Onslow Terrace, Northern Carnarvon Basin, Western Australia: Western Australia Geological Survey, Report 73, p. 17.","Clear, translucent and milky white, fine- to medium-grained sandstone; rarely coarse-grained, well-sorted, minor microcrystalline limestone.",quartz-rich arenite to rudite,sedimentary carbonate,,N,
Aberdare Dolerite,21097,,,"Formation, beds",Formal,,,,,,,,,,,,,,700,,69035,,"Clout J.M.F., Cleghorn J.H., Eaton P.C.",15-Mar-89,,,,Weakly differentiated gabbroic sill.,igneous mafic intrusive,,,Y,
Abney Sandstone,59,Abney Sandstone Member,58,"Formation, beds",Formal,Cockatoo Group,4273,,,Frasnian,,,,Frasnian,,,,,,,45038,,,,,,,,,,,N,
Abrakurrie Limestone,27099,,,"Formation, beds",Formal,Eucla Group,6345,,,Aquitanian,,,biozone,Chattian,,,,,120,WA,65942,22626,,,,,,"Yellowish coarse-grained bryozoan calcarenite and calcirudite, distinctly cyclic, and contains numerous hardgrounds; locally dolomitised.",sedimentary carbonate,,,N,
Abydos Monzogranite,37149,Abydos Adamellite,25755,"Formation, beds",Formal,,,Sisters Supersuite,68741,Mesoarchean,2930,,,Mesoarchean,2945,,,,,,61252,,,,,,Variation of Abydos Adamellite (Defined). Abydos Adamellite said to be intruded by Woodstock Adamellite.,Porphyritic feldspar-quartz-biotite-titanite monzogranite; moderately to strongly foliated; metamorphosed,igneous felsic intrusive,,,Y,
Abyssinia Well Orthogneiss,68671,,,"Formation, beds",Formal,,,Tambina Supersuite,68742,Archean,3425,4,,Archean,3425,4,,,,,63441,63441,"Van Kranendonk, M.  (GSWA)",4-Apr-05,"Hocking, R.",3-May-06,New name added in nomenclatural revision in GSWA Record 2006/15 (Van Kranendonk).  Intrudes Callina Supersuite and North Shaw Suite. Age: 3425+/-4Ma.,"Foliated to weakly gneissic,medium-grained to weakly porphyritic blue-grey tonalite through monzogranite; commonly marked by lit-par-lit sheets of white leucogranite.",,,,N,
